cinsiyet;egitimSeviyesi;meslekGrubu;yillikGelir;yasadigiOrtam;arabaVarMi;mulkVarMi;medeniHal
Kadin;Lise;Yonetici;1260000;KendiEvi;Hayir;Evet;Evli
Kadin;Lise;Yonetici;1260000;KendiEvi;Hayir;Evet;Evli
Kadin;Lise;Yonetici;1260000;KendiEvi;Hayir;Evet;Evli
Kadin;Lise;Yonetici;1260000;KendiEvi;Hayir;Evet;Evli
Kadin;Lise;Yonetici;1260000;KendiEvi;Hayir;Evet;Evli
Kadin;Lise;Yonetici;1260000;KendiEvi;Hayir;Evet;Evli
Kadin;Lise;Yonetici;1260000;KendiEvi;Hayir;Evet;Evli
Kadin;Lise;Yonetici;1260000;KendiEvi;Hayir;Evet;Evli
Kadin;Lise;TecrubeliCalisan;2475000;Kira;Hayir;Evet;Bekar
Kadin;Lise;TecrubeliCalisan;2475000;Kira;Hayir;Evet;Bekar
Kadin;Lise;TecrubeliCalisan;2475000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Ortaokul;TarimIscisi;2970000;Kira;Hayir;Evet;Bekar
Kadin;Lise;UzmanPersonel;1575000;KendiEvi;Hayir;Hayir;Evli
Kadin;Lise;UzmanPersonel;1575000;KendiEvi;Hayir;Hayir;Evli
Kadin;Lise;UzmanPersonel;1575000;KendiEvi;Hayir;Hayir;Evli
Kadin;Lise;UzmanPersonel;1575000;KendiEvi;Hayir;Hayir;Evli
Kadin;Lise;UzmanPersonel;1575000;KendiEvi;Hayir;Hayir;Evli
Erkek;Ortaokul;Sofor;1350000;KendiEvi;Hayir;Evet;Evli
Erkek;Ortaokul;Sofor;1350000;KendiEvi;Hayir;Evet;Evli
Erkek;Ortaokul;Sofor;1350000;KendiEvi;Hayir;Evet;Evli
Erkek;Ortaokul;Sofor;1350000;KendiEvi;Hayir;Evet;Evli
Kadin;Ortaokul;TarimIscisi;1350000;KendiEvi;Evet;Evet;Evli
Kadin;Ortaokul;TarimIscisi;1350000;KendiEvi;Evet;Evet;Evli
Kadin;Ortaokul;TarimIscisi;1350000;KendiEvi;Evet;Evet;Evli
Kadin;Ortaokul;TarimIscisi;1350000;KendiEvi;Evet;Evet;Evli
Kadin;Ortaokul;TarimIscisi;1350000;KendiEvi;Evet;Evet;Evli
Kadin;Ortaokul;TarimIscisi;1350000;KendiEvi;Evet;Evet;Evli
Kadin;Ortaokul;TarimIscisi;1350000;KendiEvi;Evet;Evet;Evli
Kadin;Ortaokul;TarimIscisi;1350000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;Sofor;1125000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;Sofor;1125000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;Sofor;1125000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;Sofor;1125000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;Sofor;1125000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;Sofor;1125000;KendiEvi;Evet;Evet;Evli
Kadin;Ortaokul;TemizlikPersoneli;2700000;KendiEvi;Evet;Evet;Bekar
Kadin;Ortaokul;TemizlikPersoneli;2700000;KendiEvi;Evet;Evet;Bekar
Kadin;Ortaokul;TemizlikPersoneli;2700000;KendiEvi;Evet;Evet;Bekar
Kadin;Ortaokul;TemizlikPersoneli;2700000;KendiEvi;Evet;Evet;Bekar
Kadin;Ortaokul;TemizlikPersoneli;2700000;KendiEvi;Evet;Evet;Bekar
Kadin;Lise;Yonetici;2700000;KendiEvi;Evet;Evet;Evli
Kadin;Lise;Yonetici;2700000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;Sofor;1575000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;TarimIscisi;1665000;KendiEvi;Hayir;Evet;Evli
Erkek;Ortaokul;TarimIscisi;1665000;KendiEvi;Hayir;Evet;Evli
Erkek;Ortaokul;TarimIscisi;1665000;KendiEvi;Hayir;Evet;Evli
Erkek;Ortaokul;TarimIscisi;1665000;KendiEvi;Hayir;Evet;Evli
Erkek;Ortaokul;TarimIscisi;1665000;KendiEvi;Hayir;Evet;Evli
Erkek;Ortaokul;TarimIscisi;1665000;KendiEvi;Hayir;Evet;Evli
Erkek;Ortaokul;TarimIscisi;1665000;KendiEvi;Hayir;Evet;Evli
Erkek;Ortaokul;TarimIscisi;1665000;KendiEvi;Hayir;Evet;Evli
Erkek;Ortaokul;TarimIscisi;1665000;KendiEvi;Hayir;Evet;Evli
Erkek;Ortaokul;TarimIscisi;1665000;KendiEvi;Hayir;Evet;Evli
Kadin;Ortaokul;TarimIscisi;2700000;KendiEvi;Evet;Evet;Evli
Kadin;Ortaokul;TarimIscisi;2250000;KendiEvi;Evet;Evet;Evli
Kadin;Ortaokul;TarimIscisi;2250000;KendiEvi;Evet;Evet;Evli
Kadin;Ortaokul;Muhasebeci;3150000;KendiEvi;Hayir;Evet;Bekar
Kadin;Ortaokul;Muhasebeci;3150000;KendiEvi;Hayir;Evet;Bekar
Kadin;Ortaokul;TecrubeliCalisan;1575000;KendiEvi;Hayir;Evet;Bekar
Kadin;Ortaokul;TecrubeliCalisan;1575000;KendiEvi;Hayir;Evet;Bekar
Kadin;Lise;TecrubeliCalisan;1485000;KendiEvi;Hayir;Evet;Evli
Kadin;Lise;TecrubeliCalisan;1485000;KendiEvi;Hayir;Evet;Evli
Kadin;Lise;TecrubeliCalisan;1485000;KendiEvi;Hayir;Evet;Evli
Kadin;Lise;TecrubeliCalisan;1485000;KendiEvi;Hayir;Evet;Evli
Kadin;Lise;TecrubeliCalisan;1485000;KendiEvi;Hayir;Evet;Evli
Kadin;Lise;TecrubeliCalisan;1485000;KendiEvi;Hayir;Evet;Evli
Kadin;Lise;TecrubeliCalisan;2025000;KendiEvi;Hayir;Evet;Evli
Kadin;Lise;TecrubeliCalisan;2025000;KendiEvi;Hayir;Evet;Evli
Kadin;Lise;TecrubeliCalisan;2025000;KendiEvi;Hayir;Evet;Evli
Kadin;Lise;TecrubeliCalisan;2025000;KendiEvi;Hayir;Evet;Evli
Kadin;Lise;TecrubeliCalisan;2025000;KendiEvi;Hayir;Evet;Evli
Erkek;Ortaokul;Sofor;2025000;KendiEvi;Hayir;Evet;Bekar
Erkek;Ortaokul;Sofor;2025000;KendiEvi;Hayir;Evet;Bekar
Kadin;Ortaokul;OzelHizmetPersoneli;1125000;KendiEvi;Evet;Evet;Bekar
Erkek;Ortaokul;SatisPersoneli;3150000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;SatisPersoneli;3150000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;SatisPersoneli;3150000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;SatisPersoneli;3150000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;SatisPersoneli;3150000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;SatisPersoneli;3150000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;SatisPersoneli;3150000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;SatisPersoneli;3150000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;SatisPersoneli;3150000;KendiEvi;Evet;Evet;Evli
Kadin;LiseTerk;UzmanPersonel;2700000;Kira;Evet;Evet;Evli
Kadin;LiseTerk;UzmanPersonel;2700000;Kira;Evet;Evet;Evli
Kadin;Lise;TecrubeliCalisan;4500000;KendiEvi;Evet;Evet;Evli
Kadin;Lise;TecrubeliCalisan;4500000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;Sofor;1800000;AilesiyleYasiyor;Hayir;Evet;Evli
Kadin;Lise;TarimIscisi;1125000;KendiEvi;Hayir;Evet;Evli
Kadin;Lise;TarimIscisi;1125000;KendiEvi;Hayir;Evet;Evli
Kadin;Lise;TarimIscisi;1125000;KendiEvi;Hayir;Evet;Evli
Erkek;Ortaokul;Sofor;900000;KendiEvi;Hayir;Evet;Evli
Erkek;Ortaokul;Sofor;900000;KendiEvi;Hayir;Evet;Evli
Erkek;Lise;TarimIscisi;2025000;KendiEvi;Evet;Hayir;Evli
Erkek;Lise;TarimIscisi;2025000;KendiEvi;Evet;Hayir;Evli
Erkek;Ortaokul;Sofor;2475000;KendiEvi;Evet;Evet;Evli
Erkek;Lise;Yonetici;7650000;KendiEvi;Evet;Evet;Evli
Erkek;Lise;Yonetici;7650000;KendiEvi;Evet;Evet;Evli
Erkek;Lise;Yonetici;7650000;KendiEvi;Evet;Evet;Evli
Kadin;Ortaokul;Muhasebeci;2700000;KendiEvi;Hayir;Evet;Evli
Kadin;Ortaokul;Muhasebeci;2700000;KendiEvi;Hayir;Evet;Evli
Kadin;Ortaokul;Muhasebeci;2700000;KendiEvi;Hayir;Evet;Evli
Kadin;Lise;Yonetici;3150000;KendiEvi;Hayir;Evet;Bekar
Kadin;Lise;Yonetici;3150000;KendiEvi;Hayir;Evet;Bekar
Erkek;Ortaokul;Sofor;1575000;AilesiyleYasiyor;Evet;Evet;Evli
Erkek;Ortaokul;Sofor;1575000;AilesiyleYasiyor;Evet;Evet;Evli
Erkek;Ortaokul;Sofor;1575000;AilesiyleYasiyor;Evet;Evet;Evli
Erkek;Ortaokul;Sofor;1575000;AilesiyleYasiyor;Evet;Evet;Evli
Erkek;Ortaokul;GuvenlikPersoneli;3600000;KendiEvi;Hayir;Evet;Evli
Erkek;Ortaokul;GuvenlikPersoneli;3600000;KendiEvi;Hayir;Evet;Evli
Kadin;Lise;UzmanPersonel;1125000;KendiEvi;Hayir;Evet;Evli
Kadin;Ortaokul;Yonetici;1350000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;Yonetici;1350000;KendiEvi;Hayir;Hayir;Evli
Erkek;Lise;Yonetici;3150000;KendiEvi;Evet;Hayir;Evli
Erkek;Lise;Yonetici;3150000;KendiEvi;Evet;Hayir;Evli
Erkek;Lise;Yonetici;3150000;KendiEvi;Evet;Hayir;Evli
Erkek;Lise;Yonetici;3150000;KendiEvi;Evet;Hayir;Evli
Erkek;Lise;Yonetici;3150000;KendiEvi;Evet;Hayir;Evli
Kadin;Ortaokul;SatisPersoneli;1800000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;SatisPersoneli;1800000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;SatisPersoneli;1800000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;SatisPersoneli;1800000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;SatisPersoneli;1800000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;SatisPersoneli;1800000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;SatisPersoneli;1800000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;SatisPersoneli;1800000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;SatisPersoneli;1800000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;SatisPersoneli;1800000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;SatisPersoneli;1800000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;SatisPersoneli;1800000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;SatisPersoneli;1575000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;SatisPersoneli;1575000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;SatisPersoneli;1575000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;SatisPersoneli;1575000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;SatisPersoneli;1575000;KendiEvi;Hayir;Hayir;Evli
Erkek;LiseTerk;TarimIscisi;2295000;Kira;Evet;Hayir;Evli
Erkek;LiseTerk;TarimIscisi;2295000;Kira;Evet;Hayir;Evli
Erkek;LiseTerk;TarimIscisi;2295000;Kira;Evet;Hayir;Evli
Erkek;LiseTerk;TarimIscisi;2295000;Kira;Evet;Hayir;Evli
Erkek;LiseTerk;TarimIscisi;2295000;Kira;Evet;Hayir;Evli
Erkek;LiseTerk;TarimIscisi;2295000;Kira;Evet;Hayir;Evli
Erkek;LiseTerk;TarimIscisi;2295000;Kira;Evet;Hayir;Evli
Kadin;Lise;Yonetici;2700000;KendiEvi;Hayir;Hayir;Evli
Kadin;Lise;Yonetici;2700000;KendiEvi;Hayir;Hayir;Evli
Kadin;Lise;Yonetici;2700000;KendiEvi;Hayir;Hayir;Evli
Kadin;Lise;Yonetici;2700000;KendiEvi;Hayir;Hayir;Evli
Kadin;Lise;Yonetici;2700000;KendiEvi;Hayir;Hayir;Evli
Kadin;Lise;Yonetici;2700000;KendiEvi;Hayir;Hayir;Evli
Kadin;Lise;Yonetici;2700000;KendiEvi;Hayir;Hayir;Evli
Kadin;Lise;Yonetici;2700000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;Muhasebeci;2925000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;Muhasebeci;2925000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;Muhasebeci;2925000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;Muhasebeci;2925000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;Muhasebeci;2925000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;Muhasebeci;2925000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;Muhasebeci;2925000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;Muhasebeci;2925000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;Muhasebeci;2925000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;Muhasebeci;2925000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;Muhasebeci;2925000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;Muhasebeci;2925000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;Muhasebeci;2925000;KendiEvi;Hayir;Hayir;Evli
Kadin;Lise;Muhasebeci;2700000;KendiEvi;Hayir;Hayir;Evli
Kadin;Lise;Muhasebeci;2700000;KendiEvi;Hayir;Hayir;Evli
Kadin;Lise;Muhasebeci;2700000;KendiEvi;Hayir;Hayir;Evli
Kadin;Lise;Muhasebeci;2700000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;Yonetici;2250000;KendiEvi;Evet;Hayir;Evli
Kadin;Ortaokul;Yonetici;2250000;KendiEvi;Evet;Hayir;Evli
Kadin;Ortaokul;Yonetici;2250000;KendiEvi;Evet;Hayir;Evli
Kadin;Ortaokul;Yonetici;2250000;KendiEvi;Evet;Hayir;Evli
Kadin;Ortaokul;Yonetici;2250000;KendiEvi;Evet;Hayir;Evli
Kadin;Ortaokul;Yonetici;2250000;KendiEvi;Evet;Hayir;Evli
Kadin;Ortaokul;Yonetici;2250000;KendiEvi;Evet;Hayir;Evli
Kadin;Ortaokul;Yonetici;2250000;KendiEvi;Evet;Hayir;Evli
Kadin;Ortaokul;Yonetici;2250000;KendiEvi;Evet;Hayir;Evli
Kadin;Ortaokul;Yonetici;2250000;KendiEvi;Evet;Hayir;Evli
Kadin;Ortaokul;Yonetici;2250000;KendiEvi;Evet;Hayir;Evli
Erkek;LiseTerk;Sofor;1575000;AilesiyleYasiyor;Evet;Hayir;Evli
Erkek;LiseTerk;Sofor;1575000;AilesiyleYasiyor;Evet;Hayir;Evli
Erkek;LiseTerk;Sofor;1575000;AilesiyleYasiyor;Evet;Hayir;Evli
Erkek;LiseTerk;Sofor;1575000;AilesiyleYasiyor;Evet;Hayir;Evli
Kadin;Lise;TecrubeliCalisan;742500;Kira;Hayir;Hayir;Bekar
Kadin;Lise;TecrubeliCalisan;742500;Kira;Hayir;Hayir;Bekar
Kadin;Lise;TecrubeliCalisan;742500;Kira;Hayir;Hayir;Bekar
Erkek;Ortaokul;Sofor;1350000;KendiEvi;Evet;Hayir;Evli
Erkek;Ortaokul;Sofor;1350000;KendiEvi;Evet;Hayir;Evli
Erkek;Ortaokul;Sofor;1350000;KendiEvi;Evet;Hayir;Evli
Erkek;Ortaokul;Sofor;1350000;KendiEvi;Evet;Hayir;Evli
Erkek;Ortaokul;Sofor;1350000;KendiEvi;Evet;Hayir;Evli
Kadin;Ortaokul;TemizlikPersoneli;1440000;KendiEvi;Hayir;Hayir;Bekar
Kadin;Ortaokul;TemizlikPersoneli;1440000;KendiEvi;Hayir;Hayir;Bekar
Kadin;Ortaokul;TemizlikPersoneli;1440000;KendiEvi;Hayir;Hayir;Bekar
Kadin;Lise;TecrubeliCalisan;2025000;AilesiyleYasiyor;Hayir;Hayir;Evli
Kadin;Lise;TecrubeliCalisan;2025000;AilesiyleYasiyor;Hayir;Hayir;Evli
Kadin;Lise;TecrubeliCalisan;2025000;AilesiyleYasiyor;Hayir;Hayir;Evli
Kadin;Lise;TecrubeliCalisan;2025000;AilesiyleYasiyor;Hayir;Hayir;Evli
Erkek;Lise;Yonetici;3375000;AilesiyleYasiyor;Evet;Hayir;Evli
Erkek;Lise;Yonetici;3375000;AilesiyleYasiyor;Evet;Hayir;Evli
Erkek;Lise;Yonetici;3375000;AilesiyleYasiyor;Evet;Hayir;Evli
Erkek;Lise;Yonetici;3375000;AilesiyleYasiyor;Evet;Hayir;Evli
Erkek;Lise;Yonetici;3375000;AilesiyleYasiyor;Evet;Hayir;Evli
Erkek;Ortaokul;TarimIscisi;1800000;Kira;Hayir;Hayir;Evli
Erkek;Ortaokul;TarimIscisi;1800000;Kira;Hayir;Hayir;Evli
Erkek;Ortaokul;TarimIscisi;1800000;Kira;Hayir;Hayir;Evli
Erkek;Ortaokul;TarimIscisi;1800000;Kira;Hayir;Hayir;Evli
Erkek;Ortaokul;TarimIscisi;1800000;Kira;Hayir;Hayir;Evli
Erkek;Ortaokul;TarimIscisi;1800000;Kira;Hayir;Hayir;Evli
Erkek;Ortaokul;TarimIscisi;1800000;Kira;Hayir;Hayir;Evli
Kadin;Ortaokul;TemizlikPersoneli;1305000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;TemizlikPersoneli;1305000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;TemizlikPersoneli;1305000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;TemizlikPersoneli;1305000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;TemizlikPersoneli;1305000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;TemizlikPersoneli;1305000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;TemizlikPersoneli;1305000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;TemizlikPersoneli;1305000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;TemizlikPersoneli;1305000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;TemizlikPersoneli;1305000;KendiEvi;Hayir;Hayir;Evli
Kadin;Ortaokul;TemizlikPersoneli;1305000;KendiEvi;Hayir;Hayir;Evli
